"data_source","correlation_id","name","mac_manufacturer","mac_address","ip_address","netmask","dhcp_enabled","manufacturer_id","data_token","is_deleted"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.200","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","vmxnet3 Ethernet Adapter","VMware, Inc.","00:50:56:AA:32:ED","10.264.52.200","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.201","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","vmxnet3 Ethernet Adapter","VMware, Inc.","00:50:56:AA:1D:D5","10.264.52.201","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","vmxnet3 Ethernet Adapter","VMware, Inc.","00:50:56:AA:74:16","10.264.52.202","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","Intel(R) PRO/1000 MT Network Connection","Intel","00:50:56:A0:43:22","10.264.52.203","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.203","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","vmxnet3 Ethernet Adapter","VMware, Inc.","00:50:56:AA:61:95","10.264.52.204","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","Intel(R) PRO/1000 MT Network Connection","Intel","00:50:56:A0:53:A2","10.264.52.205","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.205","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20006BDNACORP\BDNASC20006","Intel(R) 82567LM-3 Gigabit Network Connection","Intel","64:31:50:18:6E:EE","10.264.52.206","255.255.255.0","1","","7932496990","false"
"SCCM","SCCM_SERIALSC20006BDNACORP\BDNASC20006","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.206","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","vmxnet3 Ethernet Adapter","VMware, Inc.","00:50:56:AA:4B:2C","10.264.52.207","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20008BDNACORP\BDNASC20008","Intel(R) 82566DM-2 Gigabit Network Connection","Intel","00:0F:FE:82:EA:11","10.264.52.208","255.255.255.0","1","","7932496990","false"
"SCCM","SCCM_SERIALSC20008BDNACORP\BDNASC20008","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.208","255.255.255.0","0","","7932496990","false"
"SCCM","SCCM_SERIALSC20009BDNACORP\BDNASC20009","Intel(R) 82579LM Gigabit Network Connection","Intel","24:BE:05:15:7A:CD","10.264.52.209","255.255.255.0","1","","7932496990","false"
"SCCM","SCCM_SERIALSC20009BDNACORP\BDNASC20009","RAS Async Adapter","Microsoft","20:41:53:59:4E:FF","10.264.52.209","255.255.255.0","0","","7932496990","false"
