"data_source","company_id","name","website","tier","symbol","phone","country","city","is_software","data_token","is_deleted"
"SCCM","4869","Barco","http://www.barco.com/","3","Private","32-56-233211","Belgium","Kortrijk","Y","7932496990","false"
"SCCM","4896","Belkin International","http://www.belkin.com/","3","Private","1-800-223-5546","United States","Compton","Y","7932496990","false"
"SCCM","5104","Carlson Software","http://www.carlsonsw.com/","3","","1-800-989-5028","United States","Maysville","Y","7932496990","false"
"SCCM","5224","Citrix","http://www.citrix.com/","1","CTXS","954-267-3000","United States","Fort Lauderdale","Y","7932496990","false"
"SCCM","5380","ConnectWise","http://www.connectwise.com/","3","","813.463.4700","United States","Tampa","Y","7932496990","false"
"SCCM","5472","Creative","http://www.creative.com/","3","CREAF","65-68954000","Singapore","Singapore","Y","7932496990","false"
"SCCM","7061","Lexmark","http://www.lexmark.com/","2","Private","859-232-2000","United States","Lexington","Y","7932496990","false"
"SCCM","8131","Progress","http://www.progress.com/","3","PRGS","781-280-4000","United States","Bedford","Y","7932496990","false"
"SCCM","8433","Salesforce","http://www.salesforce.com/","1","CRM","1-415-9017000","United States","San Francisco","Y","7932496990","false"
"SCCM","8737","Sophos","http://www.sophos.com/","3","Private","","","","Y","7932496990","false"
"SCCM","9156","Sage","http://www.sage.com/","2","SGE","44-191-2943000","United Kingdom","Newcastle upon Tyne","Y","7932496990","false"
"SCCM","13670","Carrier","http://www.carrier.com/","3","CARR","1-860-674-3000","United States","Farmington","Y","7932496990","false"
"SCCM","16547","Samsung","http://www.samsung.com/","1","Private","82-2-727-7114","South Korea","Seoul","Y","7932496990","false"
"SCCM","593644","SystemTools Software","http://www.systemtools.com","3","Private","1-830-779-2349","United States","La Vernia","Y","7932496990","false"
"SCCM","1061456","Marvell","http://www.marvelltechnology.com/","2","MRVL","(441) 296-6395","United Kingdom","Hamilton","Y","7932496990","false"
"SCCM","1062756","Cirrus Logic","http://www.cirrus.com/","3","CRUS","","","","Y","7932496990","false"
"SCCM","1073154","Accruent","http://www.accruent.com/","3","Private","1-310-526-5700","United States","Santa Monica","Y","7932496990","false"
"SCCM","1114768","Acro Software","http://www.cutepdf.com/","3","","","United States","Haymarket","Y","7932496990","false"
"SCCM","1123943","NewSoft","http://www.newsoftinc.com","3","","","China","Taipei","Y","7932496990","false"
"SCCM","1127133","T-Mobile USA","http://www.t-mobile.com","3","","","","","Y","7932496990","false"
"SCCM","1133977","PDFlib","http://www.pdflib.com","3","","+49 89 452 33 84-0","Germany","Munich","Y","7932496990","false"
"SCCM","1206642","Thales Group","http://www.thalesgroup.com/","3","HO","+33 (0) 1 57 77 80 00","France","Paris","Y","7932496990","false"
"SCCM","1296362","AnyDWG Software","http://anydwg.com/","3","","1-952-646-5331","United States","Eden Prairie","Y","7932496990","false"
